geo,time,GDP,LEX,POP,category
world,1990,8780.9,65.76,5858793283,global
world,1991,8669.31,65.93,5951704654,global
world,1992,8410.78,66.08,6041808630,global
world,1993,8303.1,66.14,6128869404,global
world,1994,8306.03,66.27,6214708620,global
world,1995,8392.6,66.44,6299799342,global
world,1996,8537.01,66.7,6383624656,global
world,1997,8791.66,66.97,6466176041,global
world,1998,8929.34,67.22,6547860508,global
world,1999,9118.68,67.43,6628565361,global
world,2000,9294.51,67.71,6708774944,global
world,2001,9433.26,67.99,6788484451,global
world,2002,9532.73,68.26,6867598685,global
world,2003,9668.13,68.52,6946653578,global
world,2004,9898.26,68.83,7026019325,global
world,2005,8819.28,69.06,7105910415,global
world,2006,9173.85,69.36,7186353153,global
world,2007,9530.87,69.61,7267256372,global
world,2008,9616.73,69.8,7348502078,global
world,2009,9421.27,70.03,6817597375,global
world,2010,9759.93,70.23,6895735900,global
world,2011,9975.47,70.45,6973845863,global
world,2012,10149.75,70.65,7051957949,global
world,2013,10423.39,70.81,7129858227,global
world,2014,10720.8,71,7207330525,global
europe,1990,22267.39,72.54,1189222282,region
europe,1991,22111.7,72.52,1195056492,region
europe,1992,21641.77,72.5,1199088214,region
europe,1993,21262.96,72.03,1201874981,region
europe,1994,22065.55,72,1204010672,region
europe,1995,22843.63,72.21,1205708465,region
europe,1996,23577.34,72.69,1206784740,region
europe,1997,24551.85,73.15,1207418858,region
europe,1998,25856.49,73.46,1207989722,region
europe,1999,26962.07,73.41,1208338493,region
europe,2000,28068.67,73.59,1208853609,region
europe,2001,28394.36,73.84,1209726750,region
europe,2002,28496.79,73.96,1210871997,region
europe,2003,28563.26,74.1,1212483051,region
europe,2004,29382.55,74.58,1214476658,region
europe,2005,21331.78,74.69,1216791381,region
europe,2006,22052.59,75.24,1219384298,region
europe,2007,22804.38,75.49,1222202489,region
europe,2008,22629.31,75.72,1225115599,region
europe,2009,27766.36,75.81,815759891,region
europe,2010,27666.86,76.01,818075872,region
europe,2011,27660.17,76.19,820110684,region
europe,2012,25873.05,76.36,821936285,region
europe,2013,25846.45,76.52,823571242,region
europe,2014,26145.01,76.69,825094321,region
asia,1990,7688.79,65.25,3071520278,region
asia,1991,6396.05,65.51,3125953706,region
asia,1992,6871.02,65.74,3179090900,region
asia,1993,6989.02,65.97,3231081452,region
asia,1994,7152.79,66.22,3282207521,region
asia,1995,7297.4,66.45,3332648858,region
asia,1996,7557.17,66.74,3382401712,region
asia,1997,8112.01,67.05,3431388304,region
asia,1998,8390.58,67.38,3479529038,region
asia,1999,8619.75,67.73,3526677638,region
asia,2000,9089.12,68.12,3572800020,region
asia,2001,9164,68.49,3617839571,region
asia,2002,9429.71,68.85,3661874142,region
asia,2003,9248.19,69.18,3705160099,region
asia,2004,9933.43,69.49,3748022701,region
asia,2005,5212.12,69.75,3790710899,region
asia,2006,5557.58,70.01,3833290303,region
asia,2007,5929.5,70.23,3875710892,region
asia,2008,6031.34,70.44,3917959385,region
asia,2009,6147.31,70.65,3960002700,region
asia,2010,6524.22,70.84,4001804165,region
asia,2011,6758.61,71.03,4043369481,region
asia,2012,7031.39,71.2,4084661284,region
asia,2013,7345.18,71.34,4125504630,region
asia,2014,7688.66,71.54,4165673702,region
africa,1990,1902.32,53.15,632346655,region
africa,1991,1864.28,53.24,649014373,region
africa,1992,1825.86,53.29,665906975,region
africa,1993,1777.22,53.32,682991872,region
africa,1994,1768.87,53.17,700229043,region
africa,1995,1779.53,53.21,717597735,region
africa,1996,1833.86,53.25,735084861,region
africa,1997,1854.05,53.29,752720980,region
africa,1998,1879.69,53.35,770584388,region
africa,1999,1898.6,53.44,788781594,region
africa,2000,1922.23,53.57,807394290,region
africa,2001,1951.46,53.77,826456199,region
africa,2002,1971.05,54.03,845963618,region
africa,2003,2028.36,54.36,865915189,region
africa,2004,2087.4,54.77,886295965,region
africa,2005,2410.14,55.23,907097397,region
africa,2006,2497.17,55.75,928322628,region
africa,2007,2584.95,56.29,949988527,region
africa,2008,2650.99,56.85,972114234,region
africa,2009,2664.18,57.4,994723156,region
africa,2010,2726.77,57.91,1017829231,region
africa,2011,2739.49,58.36,1041431732,region
africa,2012,2780.92,58.83,1065516575,region
africa,2013,2861.08,59.24,1090065857,region
africa,2014,2939,59.61,1115054632,region
americas,1990,17287.35,71.17,716300644,region
americas,1991,17046.11,71.41,726981546,region
americas,1992,17216.54,71.73,737580678,region
americas,1993,17376.6,71.82,748175267,region
americas,1994,17798.87,72.11,758876187,region
americas,1995,17864.08,72.35,769753540,region
americas,1996,18190.31,72.67,780838274,region
americas,1997,18728.35,73.02,792076310,region
americas,1998,19104.14,73.28,803348922,region
americas,1999,19463.03,73.48,814490927,region
americas,2000,19889.79,73.71,825381851,region
americas,2001,19732.39,73.91,835983234,region
americas,2002,19698.2,74.09,846325021,region
americas,2003,19889.88,74.32,856439844,region
americas,2004,20434.06,74.62,866387313,region
americas,2005,20847.17,74.75,876215000,region
americas,2006,21330.9,75.03,885919416,region
americas,2007,21700.1,75.24,895492867,region
americas,2008,21668.65,75.36,904975532,region
americas,2009,20873.68,75.71,914417678,region
americas,2010,21375.87,75.73,923853592,region
americas,2011,21729.6,76.1,933300178,region
americas,2012,22053.94,76.33,942744379,region
americas,2013,22472.14,76.53,952152319,region
americas,2014,22950.81,76.73,961473397,region
_abk,1990,,,,country
_abk,1991,,,,country
_abk,1992,,,,country
_abk,1993,,,,country
_abk,1994,,,,country
_abk,1995,,,,country
_abk,1996,,,,country
_abk,1997,,,,country
_abk,1998,,,,country
_abk,1999,,,,country
_abk,2000,,,,country
_abk,2001,,,,country
_abk,2002,,,,country
_abk,2003,,,,country
_abk,2004,,,,country
_abk,2005,,,,country
_abk,2006,,,,country
_abk,2007,,,,country
_abk,2008,,,,country
_abk,2009,,,,country
_abk,2010,,,,country
_abk,2011,,,,country
_abk,2012,,,,country
_abk,2013,,,,country
_abk,2014,,,,country
afg,1990,709.5,48.6,13032161,country
afg,1991,705.44,49.43,14069854,country
afg,1992,649.34,50.24,15472076,country
afg,1993,558.85,51.01,17053213,country
afg,1994,500.44,51.73,18553819,country
afg,1995,601.87,52.4,19789880,country
afg,1996,617.91,52.99,20684982,country
afg,1997,635.34,53.52,21299350,country
afg,1998,653.29,54,21752257,country
afg,1999,670.98,54.44,22227543,country
afg,2000,663.9,54.86,22856302,country
afg,2001,595.03,55.27,23677385,country
afg,2002,726.73,55.68,24639841,country
afg,2003,785.12,56.12,25678639,country
afg,2004,804.71,56.58,26693486,country
afg,2005,874,57.07,27614718,country
afg,2006,887.91,57.58,28420974,country
afg,2007,983.65,58.1,29145841,country
afg,2008,984.8,58.61,29839994,country
afg,2009,1154.85,59.12,30577756,country
afg,2010,1214.61,59.61,31411743,country
afg,2011,1261.35,60.07,32358260,country
afg,2012,1349.69,60.52,33397058,country
afg,2013,1351.01,60.94,34499915,country
afg,2014,1374.06,61.34,35623235,country
and,1990,28511.18,,52773,country
and,1991,28091.12,,54996,country
and,1992,27041.01,,57767,country
and,1993,25514.03,,60670,country
and,1994,25092.43,,63111,country
and,1995,25063.76,,64699,country
and,1996,25839.06,,65227,country
and,1997,28057.47,,64905,country
and,1998,28982.13,,64246,country
and,1999,30144.97,,63985,country
and,2000,30265.94,,64634,country
and,2001,33293,,66390,country
and,2002,34485.48,,69043,country
and,2003,35925.27,,72203,country
and,2004,37427.6,,75292,country
and,2005,39002.4,,77888,country
and,2006,39924.83,,79874,country
and,2007,39244.4,,81390,country
and,2008,37046.5,,82577,country
and,2009,34710.21,,83677,country
and,2010,33052.28,,84864,country
and,2011,31630.74,,86165,country
and,2012,,,87518,country
and,2013,,,88909,country
and,2014,,,90302,country
_akr,1990,,,14127,country
_akr,1991,,,14227,country
_akr,1992,,,14327,country
_akr,1993,,,14429,country
_akr,1994,,,14531,country
_akr,1995,,,14633,country
_akr,1996,,,14736,country
_akr,1997,,,14841,country
_akr,1998,,,14945,country
_akr,1999,,,15051,country
_akr,2000,,,15157,country
_akr,2001,,,15264,country
_akr,2002,,,15372,country
_akr,2003,,,15481,country
_akr,2004,,,15590,country
_akr,2005,,,15700,country
_akr,2006,,,15700,country
_akr,2007,,,15700,country
_akr,2008,,,15700,country
_akr,2009,,,,country
_akr,2010,,,,country
_akr,2011,,,,country
_akr,2012,,,,country
_akr,2013,,,,country
_akr,2014,,,,country
alb,1990,3824.84,71.84,3289483,country
alb,1991,2717.56,71.79,3291695,country
alb,1992,2497.43,71.77,3266983,country
alb,1993,2716.64,71.81,3224901,country
alb,1994,2918.81,71.92,3179442,country
